13:22:33: 19.2°C
16:43:31: 21.6°C
16:43:37: 21.6°C
16:43:44: 21.6°C
16:43:50: 21.6°C
16:43:56: 21.6°C
16:44:02: 21.6°C
16:44:09: 21.6°C
16:44:15: 21.6°C
16:44:21: 21.6°C
16:44:28: 21.6°C
16:44:34: 21.6°C
16:44:40: 21.6°C
16:44:46: 21.6°C
16:44:53: 21.6°C
16:44:59: 21.6°C
16:45:05: 21.6°C
16:45:11: 21.6°C
16:45:18: 21.6°C
16:45:24: 21.6°C
16:45:30: 21.6°C
16:45:37: 21.6°C
16:45:43: 21.6°C
16:45:49: 21.6°C
16:45:55: 21.6°C
16:46:02: 21.6°C
16:46:08: 21.6°C
16:46:14: 21.6°C
16:46:20: 21.6°C
16:46:27: 21.6°C
16:46:33: 21.6°C
16:46:39: 21.6°C
16:46:46: 21.6°C
16:46:52: 21.6°C
16:46:58: 21.6°C
16:47:04: 21.6°C
16:47:11: 21.6°C
16:47:17: 21.6°C
16:47:23: 21.6°C
16:47:29: 21.6°C
16:47:36: 21.6°C
16:47:42: 21.6°C
16:47:48: 21.6°C
16:47:54: 21.6°C
16:48:01: 21.6°C
16:48:07: 21.6°C
16:48:13: 21.6°C
16:48:19: 21.6°C
16:48:26: 21.6°C
16:48:32: 21.6°C
16:48:38: 21.6°C
16:48:44: 21.6°C
16:48:51: 21.6°C
16:48:57: 21.6°C
16:49:03: 21.6°C
16:49:09: 21.6°C
16:49:16: 21.6°C
16:49:22: 21.6°C
16:49:28: 21.6°C
16:49:34: 21.6°C
16:49:41: 21.6°C
16:49:47: 21.6°C
16:49:53: 21.6°C
16:50:00: 21.6°C
16:50:06: 21.6°C
16:50:12: 21.6°C
16:50:18: 21.6°C
16:50:25: 21.6°C
16:50:31: 21.6°C
16:50:37: 21.6°C
16:50:43: 21.6°C
16:50:50: 21.7°C
16:50:56: 21.6°C
16:51:02: 21.6°C
16:51:08: 21.6°C
16:51:15: 21.6°C
16:51:21: 21.6°C
16:51:27: 21.6°C
16:51:34: 21.6°C
16:51:40: 21.6°C
16:51:46: 21.6°C
16:51:52: 21.7°C
16:51:59: 21.6°C
16:52:05: 21.6°C
16:52:11: 21.6°C
16:52:17: 21.6°C
16:52:24: 21.6°C
16:52:30: 21.6°C
16:52:36: 21.6°C
16:52:42: 21.6°C
16:52:49: 21.6°C
16:52:55: 21.6°C
16:53:01: 21.6°C
16:53:08: 21.6°C
16:53:14: 21.7°C
16:53:20: 21.6°C
16:53:26: 21.6°C
16:53:33: 21.6°C
16:53:39: 21.6°C
16:53:45: 21.6°C
16:53:51: 21.6°C
16:53:58: 21.6°C
16:54:04: 21.6°C
16:54:10: 21.6°C
16:54:16: 21.6°C
16:54:23: 21.6°C
16:54:29: 21.6°C
16:54:35: 21.6°C
16:54:41: 21.6°C
16:54:48: 21.6°C
16:54:54: 21.6°C
16:55:00: 21.7°C
16:55:07: 21.6°C
16:55:13: 21.6°C
16:55:19: 21.6°C
16:55:25: 21.6°C
16:55:32: 21.6°C
16:55:38: 21.7°C
16:55:44: 21.6°C
16:55:50: 21.6°C
16:55:57: 21.7°C
16:56:03: 21.6°C
16:56:09: 21.6°C
16:56:15: 21.7°C
16:56:22: 21.6°C
16:56:28: 21.6°C
16:56:34: 21.7°C
16:56:40: 21.7°C
16:56:47: 21.6°C
16:56:53: 21.7°C
16:56:59: 21.7°C
16:57:06: 21.7°C
16:57:12: 21.6°C
16:57:18: 21.7°C
16:57:24: 21.7°C
16:57:31: 21.6°C
16:57:37: 21.7°C
16:57:43: 21.7°C
16:57:49: 21.7°C
16:57:56: 21.7°C
16:58:02: 21.7°C
16:58:08: 21.7°C
16:58:14: 21.7°C
16:58:21: 21.7°C
16:58:27: 21.6°C
16:58:33: 21.7°C
16:58:40: 21.7°C
16:58:46: 21.7°C
16:58:52: 21.6°C
16:58:58: 21.7°C
16:59:05: 21.7°C
16:59:11: 21.7°C
16:59:17: 21.7°C
16:59:23: 21.7°C
16:59:30: 21.7°C
16:59:36: 21.7°C
16:59:42: 21.7°C
16:59:48: 21.7°C
16:59:55: 21.7°C
17:00:01: 21.7°C
17:00:07: 21.7°C
17:00:13: 21.7°C
17:00:20: 21.7°C
17:00:26: 21.7°C
17:00:32: 21.7°C
17:00:39: 21.7°C
17:00:45: 21.8°C
17:00:51: 21.7°C
17:00:57: 21.7°C
17:01:04: 21.7°C
17:01:10: 21.7°C
17:01:16: 21.7°C
17:01:22: 21.7°C
17:01:29: 21.7°C
17:01:35: 21.7°C
17:01:41: 21.7°C
17:01:47: 21.7°C
17:01:54: 21.7°C
17:02:00: 21.7°C
17:02:06: 21.7°C
17:02:12: 21.7°C
17:02:19: 21.7°C
17:02:25: 21.7°C
17:02:31: 21.7°C
17:02:37: 21.7°C
17:02:44: 21.7°C
17:02:50: 21.7°C
17:02:56: 21.7°C
17:03:02: 21.7°C
17:03:09: 21.7°C
17:03:15: 21.8°C
17:03:21: 21.7°C
17:03:28: 21.7°C
17:03:34: 21.7°C
17:03:40: 21.7°C
17:03:46: 21.7°C
17:03:53: 21.7°C
17:03:59: 21.8°C
17:04:05: 21.7°C
17:04:11: 21.7°C
17:04:18: 21.7°C
17:04:24: 21.7°C
17:04:30: 21.8°C
17:04:36: 21.8°C
17:04:43: 21.7°C
17:04:49: 21.8°C
17:04:55: 21.7°C
17:05:02: 21.7°C
17:05:08: 21.8°C
17:05:14: 21.7°C
17:05:20: 21.7°C
17:05:27: 21.7°C
17:05:33: 21.7°C
17:05:39: 21.7°C
17:05:45: 21.8°C
17:05:52: 21.8°C
17:05:58: 21.8°C
17:06:04: 21.8°C
17:06:10: 21.8°C
17:06:17: 21.8°C
17:06:23: 21.7°C
17:06:29: 21.8°C
17:06:36: 21.8°C
17:06:42: 21.7°C
17:06:48: 21.7°C
17:06:54: 21.8°C
17:07:01: 21.8°C
17:07:07: 21.8°C
17:07:13: 21.8°C
17:07:19: 21.8°C
17:07:26: 21.8°C
17:07:32: 21.7°C
17:07:38: 21.8°C
17:07:45: 21.7°C
17:07:51: 21.8°C
17:07:57: 21.8°C
17:08:03: 21.8°C
17:08:10: 21.8°C
17:08:16: 21.8°C
17:08:22: 21.8°C
17:08:28: 21.8°C
17:08:35: 21.8°C
17:08:41: 21.7°C
17:08:47: 21.8°C
17:08:54: 21.8°C
17:09:00: 21.8°C
17:09:06: 21.8°C
17:09:12: 21.8°C
17:09:19: 21.8°C
17:09:25: 21.8°C
17:09:31: 21.7°C
17:09:37: 21.8°C
17:09:44: 21.8°C
17:09:50: 21.8°C
17:09:56: 21.8°C
17:10:03: 21.8°C
17:10:09: 21.8°C
17:10:15: 21.8°C
17:10:21: 21.8°C
17:10:28: 21.8°C
17:10:34: 21.8°C
17:10:40: 21.8°C
17:10:46: 21.8°C
17:10:53: 21.8°C
17:10:59: 21.8°C
17:11:05: 21.8°C
17:11:12: 21.8°C
17:11:18: 21.8°C
17:11:24: 21.8°C
17:11:30: 21.8°C
17:11:37: 21.8°C
17:11:43: 21.8°C
17:11:49: 21.8°C
17:11:55: 21.8°C
17:12:02: 21.8°C
17:12:08: 21.8°C
17:12:14: 21.8°C
17:12:20: 21.8°C
17:12:27: 21.8°C
17:12:33: 21.8°C
17:12:39: 21.8°C
17:12:45: 21.8°C
17:12:52: 21.8°C
17:12:58: 21.8°C
17:13:04: 21.8°C
17:13:10: 21.8°C
17:13:17: 21.8°C
17:13:23: 21.8°C
17:13:29: 21.8°C
17:13:36: 21.8°C
17:13:42: 21.8°C
17:13:48: 21.8°C
17:13:54: 21.8°C
17:14:01: 21.8°C
17:14:07: 21.8°C
17:14:13: 21.8°C
17:14:19: 21.8°C
17:14:26: 21.8°C
17:14:32: 21.8°C
17:14:38: 21.8°C
17:14:45: 21.8°C
17:14:51: 21.8°C
17:14:57: 21.8°C
17:15:03: 21.8°C
17:15:10: 21.8°C
17:15:16: 21.8°C
17:15:22: 21.8°C
17:15:28: 21.8°C
17:15:35: 21.8°C
17:15:41: 21.8°C
17:15:47: 21.8°C
17:15:53: 21.8°C
17:16:00: 21.8°C
17:16:06: 21.8°C
17:16:12: 21.8°C
17:16:18: 21.8°C
17:16:25: 21.8°C
17:16:31: 21.8°C
17:16:37: 21.8°C
17:16:44: 21.8°C
17:16:50: 21.8°C
17:16:56: 21.8°C
17:17:02: 21.8°C
17:17:09: 21.8°C
17:17:15: 21.8°C
17:17:21: 21.8°C
17:17:27: 21.8°C
17:17:34: 21.8°C
17:17:40: 21.8°C
17:17:46: 21.8°C
17:17:52: 21.8°C
17:17:59: 21.8°C
17:18:05: 21.8°C
17:18:11: 21.8°C
17:18:18: 21.8°C
17:18:24: 21.8°C
17:18:30: 21.8°C
17:18:36: 21.8°C
17:18:43: 21.8°C
17:18:49: 21.8°C
17:18:55: 21.8°C
17:19:01: 21.8°C
17:19:08: 21.8°C
17:19:14: 21.8°C
17:19:20: 21.8°C
17:19:26: 21.8°C
17:19:33: 21.8°C
17:19:39: 21.8°C
17:19:45: 21.8°C
17:19:52: 21.8°C
17:19:58: 21.8°C
17:20:04: 21.8°C
17:20:10: 21.8°C
17:20:17: 21.8°C
17:20:23: 21.8°C
17:20:29: 21.8°C
17:20:35: 21.8°C
17:20:42: 21.8°C
17:20:48: 21.8°C
17:20:54: 21.8°C
17:21:00: 21.8°C
17:21:07: 21.8°C
17:21:13: 21.8°C
17:21:19: 21.8°C
17:21:26: 21.8°C
17:21:32: 21.8°C
17:21:38: 21.8°C
17:21:44: 21.8°C
17:21:51: 21.8°C
17:21:57: 21.8°C
17:22:03: 21.8°C
17:22:09: 21.8°C
17:22:16: 21.9°C
17:22:22: 21.8°C
17:22:28: 21.8°C
17:22:35: 21.8°C
17:22:41: 21.8°C
17:22:47: 21.8°C
17:22:53: 21.8°C
17:23:00: 21.8°C
17:23:06: 21.8°C
17:23:12: 21.8°C
17:23:18: 21.8°C
17:23:25: 21.8°C
17:23:31: 21.8°C
17:23:37: 21.8°C
17:23:43: 21.9°C
17:23:50: 21.8°C
17:23:56: 21.9°C
17:24:02: 21.8°C
17:24:09: 21.8°C
17:24:15: 21.8°C
17:24:21: 21.8°C
17:24:27: 21.8°C
17:24:34: 21.8°C
17:24:40: 21.8°C
17:24:46: 21.8°C
17:24:52: 21.8°C
17:24:59: 21.8°C
17:25:05: 21.8°C
17:25:11: 21.8°C
17:25:18: 21.8°C
17:25:24: 21.9°C
17:25:30: 21.8°C
17:25:36: 21.8°C
17:25:43: 21.8°C
17:25:49: 21.8°C
17:25:55: 21.8°C
17:26:01: 21.8°C
17:26:08: 21.9°C
17:26:14: 21.8°C
17:26:20: 21.8°C
17:26:27: 21.8°C
17:26:33: 21.9°C
17:26:39: 21.8°C
17:26:45: 21.9°C
17:26:52: 21.9°C
17:26:58: 21.9°C
17:27:04: 21.9°C
17:27:10: 21.8°C
17:27:17: 21.9°C
17:27:23: 21.9°C
17:27:29: 21.9°C
17:27:35: 21.8°C
17:27:42: 21.8°C
17:27:48: 21.9°C
17:27:54: 21.9°C
17:28:01: 21.9°C
17:28:07: 21.8°C
17:28:13: 21.9°C
17:28:19: 21.9°C
17:28:26: 21.9°C
17:28:32: 21.9°C
17:28:38: 21.8°C
17:28:44: 21.9°C
17:28:51: 21.9°C
17:28:57: 21.8°C
17:29:03: 21.9°C
17:29:09: 21.9°C
17:29:16: 21.9°C
17:29:22: 21.9°C
17:29:28: 21.9°C
17:29:34: 21.9°C
17:29:41: 21.9°C
17:29:47: 21.9°C
17:29:53: 21.9°C
17:30:00: 21.9°C
17:30:06: 21.9°C
17:30:12: 21.9°C
17:30:18: 21.9°C
17:30:25: 21.9°C
17:30:31: 21.9°C
17:30:37: 21.9°C
17:30:43: 21.9°C
17:30:50: 21.9°C
17:30:56: 21.9°C
17:31:02: 21.9°C
17:31:08: 21.9°C
17:31:15: 21.9°C
17:31:21: 21.9°C
17:31:27: 21.9°C
17:31:34: 21.9°C
17:31:40: 21.9°C
17:31:46: 21.9°C
17:31:52: 21.9°C
17:31:59: 21.9°C
17:32:05: 21.9°C
17:32:11: 21.8°C
17:32:17: 21.9°C
17:32:24: 21.9°C
17:32:30: 21.9°C
17:32:36: 21.9°C
17:32:42: 21.9°C
17:32:49: 21.9°C
17:32:55: 21.9°C
17:33:01: 21.9°C
17:33:07: 21.9°C
17:33:14: 21.9°C
17:33:20: 21.9°C
17:33:26: 21.9°C
17:33:33: 21.9°C
17:33:39: 21.9°C
17:33:45: 21.9°C
17:33:51: 21.9°C
17:33:58: 21.9°C
17:34:04: 21.9°C
17:34:10: 21.9°C
17:34:16: 21.9°C
17:34:23: 21.9°C
17:34:29: 21.9°C
17:34:35: 21.9°C
17:34:42: 21.9°C
17:34:48: 21.9°C
17:34:54: 21.9°C
17:35:00: 21.9°C
17:35:07: 21.9°C
17:35:13: 21.9°C
17:35:19: 21.9°C
17:35:25: 21.9°C
17:35:32: 21.9°C
17:35:38: 21.9°C
17:35:44: 21.9°C
17:35:50: 21.9°C
17:35:57: 21.9°C
17:36:03: 21.9°C
17:36:09: 21.9°C
17:36:16: 21.9°C
17:36:22: 21.9°C
17:36:28: 21.9°C
17:36:34: 21.9°C
17:36:41: 21.9°C
17:36:47: 21.9°C
17:36:53: 21.9°C
17:36:59: 21.9°C
17:37:06: 21.9°C
17:37:12: 21.9°C
17:37:18: 21.9°C
17:37:24: 21.9°C
17:37:31: 21.9°C
17:37:37: 21.9°C
17:37:43: 21.9°C
17:37:49: 21.9°C
17:37:56: 21.9°C
17:38:02: 21.9°C
17:38:08: 21.9°C
17:38:15: 21.9°C
17:38:21: 21.9°C
17:38:27: 21.9°C
17:38:33: 21.9°C
17:38:40: 21.9°C
17:38:46: 21.9°C
17:38:52: 21.9°C
17:38:58: 21.9°C
17:39:05: 21.9°C
17:39:11: 21.9°C
17:39:17: 21.9°C
17:39:24: 21.9°C
17:39:30: 21.9°C
17:39:36: 21.9°C
17:39:42: 21.9°C
17:39:49: 21.9°C
17:39:55: 21.9°C
17:40:01: 21.9°C
17:40:07: 21.9°C
17:40:14: 21.9°C
17:40:20: 21.9°C
17:40:26: 21.9°C
17:40:33: 21.9°C
17:40:39: 21.9°C
17:40:45: 21.9°C
17:40:51: 21.9°C
17:40:58: 21.9°C
17:41:04: 21.9°C
17:41:10: 21.9°C
17:41:16: 21.9°C
17:41:23: 21.9°C
17:41:29: 21.9°C
17:41:35: 21.9°C
17:41:42: 21.9°C
17:41:48: 21.9°C
17:41:54: 21.9°C
17:42:00: 21.9°C
17:42:07: 21.9°C
17:42:13: 21.9°C
17:42:19: 21.9°C
17:42:25: 21.9°C
17:42:32: 21.9°C
17:42:38: 21.9°C
17:42:44: 21.9°C
17:42:51: 21.9°C
17:42:57: 21.9°C
17:43:03: 21.9°C
17:43:09: 21.9°C
17:43:16: 21.9°C
17:43:22: 21.9°C
17:43:28: 21.9°C
17:43:34: 21.9°C
17:43:41: 22.0°C
17:43:47: 21.9°C
17:43:53: 21.9°C
17:44:00: 21.9°C
17:44:06: 21.9°C
17:44:12: 21.9°C
17:44:18: 21.9°C
17:44:25: 22.0°C
17:44:31: 22.0°C
17:44:37: 21.9°C
17:44:43: 21.9°C
17:44:50: 21.9°C
17:44:56: 21.9°C
17:45:02: 21.9°C
17:45:08: 21.9°C
17:45:15: 22.0°C
17:45:21: 22.0°C
17:45:27: 21.9°C
17:45:33: 22.0°C
17:45:40: 21.9°C
17:45:46: 21.9°C
17:45:52: 21.9°C
17:45:59: 21.9°C
17:46:05: 21.9°C
17:46:11: 21.9°C
17:46:17: 21.9°C
17:46:24: 22.0°C
17:46:30: 22.0°C
17:46:36: 21.9°C
17:46:42: 21.9°C
17:46:49: 21.9°C
17:46:55: 22.0°C
17:47:01: 21.9°C
17:47:07: 22.0°C
17:47:14: 22.0°C
17:47:20: 22.0°C
17:47:26: 21.9°C
17:47:32: 22.0°C
17:47:39: 22.0°C
17:47:45: 22.0°C
17:47:51: 22.0°C
17:47:57: 22.0°C
17:48:04: 22.0°C
17:48:10: 21.9°C
17:48:16: 22.0°C
17:48:23: 22.0°C
17:48:29: 22.0°C
17:48:35: 21.9°C
17:48:41: 21.9°C
17:48:48: 22.0°C
17:48:54: 22.0°C
17:49:00: 22.0°C
17:49:06: 22.0°C
17:49:13: 22.0°C
17:49:19: 22.0°C
17:49:25: 22.0°C
17:49:31: 22.0°C
17:49:38: 22.0°C
17:49:44: 22.0°C
17:49:50: 22.0°C
17:49:56: 22.0°C
17:50:03: 22.0°C
17:50:09: 22.0°C
17:50:15: 22.0°C
17:50:22: 22.0°C
17:50:28: 22.0°C
17:50:34: 22.0°C
17:50:40: 22.0°C
17:50:47: 22.0°C
17:50:53: 22.0°C
17:50:59: 22.0°C
17:51:05: 22.0°C
17:51:12: 22.0°C
17:51:18: 22.0°C
17:51:24: 22.0°C
17:51:31: 22.0°C
17:51:37: 22.0°C
17:51:43: 22.0°C
17:51:49: 22.0°C
17:51:56: 22.0°C
17:52:02: 22.0°C
17:52:08: 22.0°C
17:52:14: 22.0°C
17:52:21: 22.0°C
17:52:27: 22.0°C
17:52:33: 22.0°C
17:52:39: 22.0°C
17:52:46: 22.0°C
17:52:52: 22.0°C
17:52:58: 22.0°C
17:53:04: 22.0°C
17:53:11: 22.0°C
17:53:17: 22.0°C
17:53:23: 22.0°C
17:53:30: 22.0°C
17:53:36: 22.0°C
17:53:42: 22.0°C
17:53:48: 22.0°C
17:53:55: 22.0°C
17:54:01: 22.1°C
17:54:07: 22.0°C
17:54:13: 22.0°C
17:54:20: 22.0°C
17:54:26: 22.0°C
17:54:32: 22.0°C
17:54:38: 22.0°C
17:54:45: 22.0°C
17:54:51: 22.0°C
17:54:57: 22.0°C
17:55:03: 22.0°C
17:55:10: 22.1°C
17:55:16: 22.0°C
17:55:22: 22.0°C
17:55:29: 22.1°C
17:55:35: 22.0°C
17:55:41: 22.0°C
17:55:47: 22.0°C
17:55:54: 22.0°C
17:56:00: 22.1°C
17:56:06: 22.1°C
17:56:12: 22.1°C
17:56:19: 22.1°C
17:56:25: 22.0°C
17:56:31: 22.0°C
17:56:37: 22.0°C
17:56:44: 22.1°C
17:56:50: 22.1°C
17:56:56: 22.1°C
17:57:03: 22.0°C
17:57:09: 22.1°C
17:57:15: 22.0°C
17:57:21: 22.0°C
17:57:28: 22.1°C
17:57:34: 22.0°C
17:57:40: 22.1°C
17:57:46: 22.1°C
17:57:53: 22.0°C
17:57:59: 22.1°C
17:58:05: 22.1°C
17:58:11: 22.1°C
17:58:18: 22.1°C
17:58:24: 22.1°C
17:58:30: 22.1°C
17:58:37: 22.1°C
17:58:43: 22.1°C
17:58:49: 22.1°C
17:58:55: 22.1°C
17:59:02: 22.1°C
17:59:08: 22.1°C
17:59:14: 22.1°C
17:59:20: 22.1°C
17:59:27: 22.1°C
17:59:33: 22.1°C
17:59:39: 22.0°C
17:59:45: 22.1°C
17:59:52: 22.1°C
17:59:58: 22.1°C
18:00:04: 22.1°C
18:00:10: 22.0°C
18:00:17: 22.1°C
18:00:23: 22.1°C
18:00:29: 22.1°C
18:00:36: 22.1°C
18:00:42: 22.1°C
18:00:48: 22.0°C
18:00:54: 22.1°C
18:01:01: 22.1°C
18:01:07: 22.1°C
18:01:13: 22.1°C
18:01:19: 22.1°C
18:01:26: 22.1°C
18:01:32: 22.1°C
18:01:38: 22.1°C
18:01:44: 22.1°C
18:01:51: 22.1°C
18:01:57: 22.1°C
18:02:03: 22.1°C
18:02:09: 22.1°C
18:02:16: 22.1°C
18:02:22: 22.1°C
18:02:28: 22.1°C
18:02:35: 22.1°C
18:02:41: 22.1°C
18:02:47: 22.1°C
18:02:53: 22.1°C
18:03:00: 22.1°C
18:03:06: 22.1°C
18:03:12: 22.1°C
18:03:18: 22.1°C
18:03:25: 22.1°C
18:03:31: 22.1°C
18:03:37: 22.1°C
18:03:43: 22.1°C
18:03:50: 22.1°C
18:03:56: 22.1°C
18:04:02: 22.1°C
18:04:09: 22.1°C
18:04:15: 22.1°C
18:04:21: 22.1°C
18:04:27: 22.1°C
18:04:34: 22.1°C
18:04:40: 22.1°C
18:04:46: 22.1°C
18:04:52: 22.1°C
18:04:59: 22.1°C
18:05:05: 22.1°C
18:05:11: 22.1°C
18:05:18: 22.1°C
18:05:24: 22.1°C
18:05:30: 22.1°C
18:05:36: 22.1°C
18:05:43: 22.1°C
18:05:49: 22.1°C
18:05:55: 22.1°C
18:06:01: 22.1°C
18:06:08: 22.1°C
18:06:14: 22.1°C
18:06:20: 22.1°C
18:06:26: 22.1°C
18:06:33: 22.1°C
18:06:39: 22.1°C
18:06:45: 22.1°C
18:06:51: 22.1°C
18:06:58: 22.1°C
18:07:04: 22.1°C
18:07:10: 22.1°C
18:07:17: 22.1°C
18:07:23: 22.1°C
18:07:29: 22.1°C
18:07:35: 22.1°C
18:07:42: 22.1°C
18:07:48: 22.1°C
18:07:54: 22.1°C
18:08:00: 22.1°C
18:08:07: 22.1°C
18:08:13: 22.1°C
18:08:19: 22.1°C
18:08:25: 22.1°C
18:08:32: 22.1°C
18:08:38: 22.1°C
18:08:44: 22.1°C
18:08:51: 22.1°C
18:08:57: 22.1°C
18:09:03: 22.1°C
18:09:09: 22.1°C
18:09:16: 22.1°C
18:09:22: 22.1°C
18:09:28: 22.1°C
18:09:34: 22.1°C
18:09:41: 22.1°C
18:09:47: 22.1°C
18:09:53: 22.1°C
18:09:59: 22.1°C
18:10:06: 22.1°C
18:10:12: 22.1°C
18:10:18: 22.1°C
18:10:24: 22.1°C
18:10:31: 22.1°C
18:10:37: 22.1°C
18:10:43: 22.1°C
18:10:50: 22.1°C
18:10:56: 22.1°C
18:11:02: 22.1°C
18:11:08: 22.1°C
18:11:15: 22.1°C
18:11:21: 22.1°C
18:11:27: 22.1°C
18:11:33: 22.1°C
18:11:40: 22.1°C
18:11:46: 22.1°C
18:11:52: 22.1°C
18:11:58: 22.1°C
18:12:05: 22.1°C
18:12:11: 22.1°C
18:12:17: 22.1°C
18:12:24: 22.1°C
18:12:30: 22.1°C
18:12:36: 22.1°C
18:12:42: 22.1°C
18:12:49: 22.1°C
18:12:55: 22.1°C
18:13:01: 22.1°C
18:13:07: 22.1°C
18:13:14: 22.1°C
18:13:20: 22.1°C
18:13:26: 22.1°C
18:13:33: 22.1°C
18:13:39: 22.1°C
18:13:45: 22.1°C
18:13:51: 22.1°C
18:13:58: 22.1°C
18:14:04: 22.1°C
18:14:10: 22.1°C
18:14:16: 22.1°C
18:14:23: 22.1°C
18:14:29: 22.1°C
18:14:35: 22.1°C
18:14:41: 22.1°C
18:14:48: 22.1°C
18:14:54: 22.1°C
18:15:00: 22.1°C
18:15:07: 22.1°C
18:15:13: 22.1°C
18:15:19: 22.1°C
18:15:25: 22.1°C
18:15:32: 22.1°C
18:15:38: 22.1°C
18:15:44: 22.1°C
18:15:50: 22.1°C
18:15:57: 22.1°C
18:16:03: 22.1°C
18:16:09: 22.1°C
18:16:16: 22.1°C
18:16:22: 22.1°C
18:16:28: 22.1°C
18:16:34: 22.1°C
18:16:41: 22.1°C
18:16:47: 22.1°C
18:16:53: 22.2°C
18:16:59: 22.1°C
18:17:06: 22.1°C
18:17:12: 22.1°C
18:17:18: 22.1°C
18:17:24: 22.1°C
18:17:31: 22.1°C
18:17:37: 22.1°C
18:17:43: 22.1°C
18:17:50: 22.1°C
18:17:56: 22.1°C
18:18:02: 22.1°C
18:18:08: 22.1°C
18:18:15: 22.1°C
18:18:21: 22.1°C
18:18:27: 22.1°C
18:18:33: 22.1°C
18:18:40: 22.1°C
18:18:46: 22.1°C
18:18:52: 22.1°C
18:18:58: 22.1°C
18:19:05: 22.1°C
18:19:11: 22.1°C
18:19:17: 22.1°C
18:19:23: 22.1°C
18:19:30: 22.1°C
18:19:36: 22.1°C
18:19:42: 22.2°C
18:19:49: 22.1°C
18:19:55: 22.1°C
18:20:01: 22.1°C
18:20:07: 22.2°C
18:20:14: 22.1°C
18:20:20: 22.1°C
18:20:26: 22.1°C
18:20:32: 22.1°C
18:20:39: 22.2°C
18:20:45: 22.1°C
18:20:51: 22.1°C
18:20:57: 22.1°C
18:21:04: 22.1°C
18:21:10: 22.2°C
18:21:16: 22.1°C
18:21:23: 22.1°C
18:21:29: 22.1°C
18:21:35: 22.1°C
18:21:41: 22.2°C
18:21:48: 22.1°C
18:21:54: 22.1°C
18:22:00: 22.2°C
18:22:06: 22.2°C
18:22:13: 22.1°C
18:22:19: 22.2°C
18:22:25: 22.1°C
18:22:31: 22.2°C
18:22:38: 22.2°C
18:22:44: 22.2°C
18:22:50: 22.1°C
18:22:56: 22.2°C
18:23:03: 22.1°C
18:23:09: 22.2°C
18:23:15: 22.2°C
18:23:22: 22.1°C
18:23:28: 22.1°C
18:23:34: 22.2°C
18:23:40: 22.1°C
18:23:47: 22.1°C
18:23:53: 22.2°C
18:23:59: 22.2°C
18:24:05: 22.2°C
18:24:12: 22.1°C
18:24:18: 22.2°C
18:24:24: 22.1°C
18:24:30: 22.2°C
18:24:37: 22.1°C
18:24:43: 22.2°C
18:24:49: 22.2°C
18:24:56: 22.1°C
18:25:02: 22.2°C
18:25:08: 22.2°C
18:25:14: 22.2°C
18:25:21: 22.2°C
18:25:27: 22.2°C
18:25:33: 22.2°C
18:25:39: 22.1°C
18:25:46: 22.2°C
18:25:52: 22.2°C
18:25:58: 22.2°C
18:26:04: 22.2°C
18:26:11: 22.1°C
18:26:17: 22.2°C
18:26:23: 22.2°C
18:26:29: 22.2°C
18:26:36: 22.2°C
18:26:42: 22.1°C
18:26:48: 22.2°C
18:26:55: 22.2°C
18:27:01: 22.1°C
18:27:07: 22.1°C
18:27:13: 22.2°C
18:27:20: 22.2°C
18:27:26: 22.2°C
18:27:32: 22.2°C
18:27:38: 22.2°C
18:27:45: 22.2°C
18:27:51: 22.2°C
18:27:57: 22.2°C
18:28:03: 22.2°C
18:28:10: 22.2°C
18:28:16: 22.2°C
18:28:22: 22.2°C
18:28:29: 22.2°C
18:28:35: 22.2°C
18:28:41: 22.2°C
18:28:47: 22.2°C
18:28:54: 22.1°C
18:29:00: 22.2°C
18:29:06: 22.2°C
18:29:12: 22.2°C
18:29:19: 22.2°C
18:29:25: 22.2°C
18:29:31: 22.2°C
18:29:37: 22.2°C
18:29:44: 22.2°C
18:29:50: 22.2°C
18:29:56: 22.2°C
18:30:02: 22.2°C
18:30:09: 22.2°C
18:30:15: 22.2°C
18:30:21: 22.2°C
18:30:28: 22.2°C
18:30:34: 22.2°C
18:30:40: 22.2°C
18:30:46: 22.2°C
18:30:53: 22.2°C
18:30:59: 22.2°C
18:31:05: 22.2°C
18:31:11: 22.2°C
18:31:18: 22.2°C
18:31:24: 22.2°C
18:31:30: 22.2°C
18:31:36: 22.2°C
18:31:43: 22.2°C
18:31:49: 22.2°C
18:31:55: 22.2°C
18:32:02: 22.2°C
18:32:08: 22.2°C
18:32:14: 22.2°C
18:32:20: 22.2°C
18:32:27: 22.2°C
18:32:33: 22.2°C
18:32:39: 22.2°C
18:32:45: 22.2°C
18:32:52: 22.2°C
18:32:58: 22.2°C
18:33:04: 22.2°C
18:33:10: 22.2°C
18:33:17: 22.2°C
18:33:23: 22.2°C
18:33:29: 22.2°C
18:33:36: 22.2°C
18:33:42: 22.2°C
18:33:48: 22.2°C
18:33:54: 22.2°C
18:34:01: 22.2°C
18:34:07: 22.2°C
18:34:13: 22.2°C
18:34:19: 22.2°C
18:34:26: 22.2°C
18:34:32: 22.2°C
18:34:38: 22.2°C
18:34:45: 22.2°C
18:34:51: 22.2°C
18:34:57: 22.2°C
18:35:03: 22.2°C
18:35:10: 22.2°C
18:35:16: 22.2°C
18:35:22: 22.2°C
18:35:28: 22.2°C
18:35:35: 22.2°C
18:35:41: 22.2°C
